Title,Author,Language Level
The Story of Ferdinand,Munro Leaf,level_A2
Why Mosquitoes Buzz in People's Ears,Verna Aardema,level_A2
The Magic School Bus: Inside the Earth,Joanna Cole and Bruce Degen,level_A2
Cloudy With a Chance of Meatballs,Judi Barrett,level_A2
Curious George Takes a Job,H.A. Rey,level_B1
A Chair for My Mother,Vera B. Williams ,level_B1
Where the Wild Things Are,Maurice Sendak,level_B1
Arthur's Pen Pal,Lillian Hoban,level_B1
The Golly Sisters Go West,Betsy Byars,level_B1
The Gardener,Sarah Stewart,level_B1
"Oh, the Places You’ll Go!",Dr. Seuss,level_B1
Lon Po Po,Ed Young,level_B1
There's a Nightmare in My Closet,Mercer Mayer,level_B1
One of Each,Mary Ann Hoberman,level_B1
Curduroy,Don Freeman,level_B1
Nana Upstairs & Nana Downstairs,Tomie dePaola,level_B1
Doctor De Soto,William Steig,level_B1
The Mitten,Alvin Tresselt,level_B1
The Boy Who Didn't Believe in Spring,Lucille Clifton,level_B1
The One in the Middle Is the Green Kangaroo,Judy Blume,level_B2
The Josefina Story Quilt,Eleanor Coerr,level_B2
The Cable Car and the,"Dragon, Herb Caen",level_B2
The Little House,Virginia Lee Burton,level_B2
The Biggest Bear,Lynd Ward,level_B2
Aliens for Breakfast,"Jonathan Etra and, Stephanie Spinner",level_B2
Paul Bunyan,Steven Kellogg,level_B2
The Drinking Gourd,F.N. Monjo,level_B2
The New Kid on the Block,Jack Prelutsky,level_B2
Fantastic Mr. Fox,Roald Dahl,level_B2
Fables,Arnold Lobel,level_B2
Snowed In with Grandmother Silk,Carol Fenner,level_B2
Amos & Boris,William Steig,level_B2
The Littles,John Peterson,level_B2
Flat Stanley: His Original Adventure,Jeff Brown,level_B2
Owl Moon,Jane Yolen,level_C1
"The Day Gogo Went to Vote: South Africa, April 1994",Eleanor Batezat Sisulu,level_C1
Amazing Grace,Mary Hoffman,level_C1
The Snow Walker,"Margaret K. and Charles M., Wetterer",level_C1
The Hundred Dresses,Eleanor Estes,level_C1
My Father's Dragon,Ruth Stiles Gannett,level_C1
